"Station","Date","maxT","meanT","minT","humid","wind","prec","Month"
"GNV",2017-01-01,81,64,48,76,3,0,1
"GNV",2017-01-02,84,70,55,85,4,0,1
"GNV",2017-01-03,80,72,64,89,6,0.14,1
"GNV",2017-01-04,73,64,55,74,7,0,1
"GNV",2017-01-05,71,58,46,73,4,0,1
"GNV",2017-01-06,73,60,46,89,1,0.49,1
"GNV",2017-01-07,68,52,35,80,11,0.31,1
"GNV",2017-01-08,48,37,25,54,7,0,1
"GNV",2017-01-09,62,44,25,66,6,0,1
"GNV",2017-01-10,71,53,35,72,3,0,1
"GNV",2017-01-11,74,60,45,75,3,0,1
"GNV",2017-01-12,79,63,47,68,2,0,1
"GNV",2017-01-13,81,67,53,69,3,0,1
"GNV",2017-01-14,76,65,53,78,3,0.07,1
"GNV",2017-01-15,79,65,50,70,4,0,1
"GNV",2017-01-16,79,66,53,70,2,0,1
"GNV",2017-01-17,82,66,50,70,2,0,1
"GNV",2017-01-18,79,66,52,72,5,0,1
"GNV",2017-01-19,80,68,56,77,2,0,1
"GNV",2017-01-20,81,71,61,73,7,0,1
"GNV",2017-01-21,83,73,63,62,10,0,1
"GNV",2017-01-22,82,71,60,60,15,0.3,1
"GNV",2017-01-23,67,60,52,80,12,0.05,1
"GNV",2017-01-24,73,60,47,58,9,0,1
"GNV",2017-01-25,79,60,40,69,5,0,1
"GNV",2017-01-26,80,69,57,78,10,0.08,1
"GNV",2017-01-27,64,53,42,50,7,0,1
"GNV",2017-01-29,64,55,45,53,8,0,1
"GNV",2017-01-30,63,51,38,54,7,0,1
"GNV",2017-01-31,73,54,34,67,5,0,1
"GNV",2017-02-01,76,60,44,67,4,0,2
"GNV",2017-02-02,76,58,40,66,1,0,2
"GNV",2017-02-03,78,61,44,67,4,0,2
"GNV",2017-02-04,62,56,50,80,10,0,2
"GNV",2017-02-05,71,60,48,69,4,0,2
"GNV",2017-02-06,79,62,44,68,1,0,2
"GNV",2017-02-07,82,66,49,71,8,0.16,2
"GNV",2017-02-08,79,69,58,86,11,0.06,2
"GNV",2017-02-09,77,63,48,58,10,0,2
"GNV",2017-02-10,69,55,40,49,6,0,2
"GNV",2017-02-11,80,61,42,66,5,0,2
"GNV",2017-02-12,78,64,50,78,7,0,2
"GNV",2017-02-13,79,66,53,63,8,0,2
"GNV",2017-02-14,79,65,50,74,6,0,2
"GNV",2017-02-16,68,54,40,58,7,0,2
"GNV",2017-02-17,75,55,34,56,3,0,2
"GNV",2017-02-18,71,58,44,73,4,0.03,2
"GNV",2017-02-20,81,66,50,68,4,0,2
"GNV",2017-02-21,78,66,53,73,6,0,2
"GNV",2017-02-22,67,65,62,87,8,0.12,2
"GNV",2017-02-23,79,71,62,79,12,0.02,2
"GNV",2017-02-24,83,72,61,76,6,0,2
"GNV",2017-02-25,82,71,59,72,8,0,2
"GNV",2017-02-26,74,60,45,54,7,0,2
"GNV",2017-02-27,85,64,43,66,5,0,2
"GNV",2017-02-28,85,70,55,72,4,0,2
"GNV",2017-03-01,87,73,58,67,7,0,3
"GNV",2017-03-02,70,62,53,71,7,0.11,3
"GNV",2017-03-03,70,54,38,41,8,0,3
"GNV",2017-03-04,73,55,36,57,8,0,3
"GNV",2017-03-05,74,60,46,61,9,0,3
"GNV",2017-03-06,78,64,50,60,8,0,3
"GNV",2017-03-07,81,65,48,70,6,0,3
"GNV",2017-03-08,83,72,60,68,6,0,3
"GNV",2017-03-09,83,68,52,66,2,0,3
"GNV",2017-03-10,84,68,51,70,7,0,3
"GNV",2017-03-11,79,62,44,66,6,0,3
"GNV",2017-03-12,77,66,54,77,7,0.03,3
"GNV",2017-03-13,66,58,52,91,8,0.53,3
"GNV",2017-03-15,57,45,32,48,8,0,3
"GNV",2017-03-16,63,44,25,50,5,0,3
"GNV",2017-03-17,71,51,31,49,3,0,3
"GNV",2017-03-18,78,59,39,60,7,0,3
"GNV",2017-03-19,75,61,46,59,9,0,3
"GNV",2017-03-20,78,57,36,55,3,0,3
"GNV",2017-03-21,85,65,45,64,7,0,3
"GNV",2017-03-22,89,76,63,61,9,0,3
"GNV",2017-03-23,77,66,55,72,11,0,3
"GNV",2017-03-24,80,65,49,65,8,0,3
"GNV",2017-03-25,82,67,52,71,7,0,3
"GNV",2017-03-26,85,70,54,65,4,0,3
"GNV",2017-03-27,84,69,54,70,5,0,3
"GNV",2017-03-28,87,71,55,66,5,0,3
"GNV",2017-03-29,89,71,53,64,3,0,3
"GNV",2017-03-30,89,71,53,64,5,0,3
"GNV",2017-03-31,85,75,64,69,12,0,3
"MIA",2017-01-01,89,76,64,60,5,0,1
"MIA",2017-01-02,91,78,66,59,6,0,1
"MIA",2017-01-03,93,81,69,58,5,0,1
"MIA",2017-01-04,90,79,68,69,6,0,1
"MIA",2017-01-05,92,82,71,78,4,0.04,1
"MIA",2017-01-06,95,85,75,77,3,0,1
"MIA",2017-01-07,93,84,75,80,3,0,1
"MIA",2017-01-08,80,77,74,92,2,0.55,1
"MIA",2017-01-09,86,80,73,88,3,0.02,1
"MIA",2017-01-10,91,83,75,87,2,0.02,1
"MIA",2017-01-11,92,84,75,74,4,0,1
"MIA",2017-01-12,88,80,73,85,3,0.39,1
"MIA",2017-01-13,87,80,73,79,3,0.02,1
"MIA",2017-01-14,92,80,69,69,4,0,1
"MIA",2017-01-15,93,82,71,68,5,0,1
"MIA",2017-01-16,92,82,73,74,4,0,1
"MIA",2017-01-17,89,80,71,66,7,0,1
"MIA",2017-01-18,88,77,66,65,5,0,1
"MIA",2017-01-19,90,77,64,67,3,0,1
"MIA",2017-01-20,90,77,64,66,4,0,1
"MIA",2017-01-21,93,80,68,65,3,0,1
"MIA",2017-01-22,90,79,68,68,3,0,1
"MIA",2017-01-23,84,78,73,82,5,0.01,1
"MIA",2017-01-24,87,78,69,78,9,0,1
"MIA",2017-01-25,89,79,69,67,6,0,1
"MIA",2017-01-26,89,79,69,59,6,0,1
"MIA",2017-01-27,89,78,68,65,6,0,1
"MIA",2017-01-28,90,80,71,68,6,0,1
"MIA",2017-01-29,88,80,73,78,3,0.02,1
"MIA",2017-01-30,92,82,73,64,3,0,1
"MIA",2017-01-31,91,81,71,65,7,0,1
"MIA",2017-02-01,91,81,71,72,8,0,2
"MIA",2017-02-02,94,84,73,67,5,0,2
"MIA",2017-02-03,94,84,73,63,8,0,2
"MIA",2017-02-04,91,80,69,65,8,0,2
"MIA",2017-02-05,92,80,68,62,7,0,2
"MIA",2017-02-06,90,80,69,78,9,0.04,2
"MIA",2017-02-07,87,80,74,91,4,0.59,2
"MIA",2017-02-08,83,78,73,92,3,0.63,2
"MIA",2017-02-09,76,74,71,92,9,0.94,2
"MIA",2017-02-10,80,76,73,92,10,0.28,2
"MIA",2017-02-11,85,78,71,80,5,0,2
"MIA",2017-02-12,87,76,66,74,2,0,2
"MIA",2017-02-13,86,78,71,79,3,0,2
"MIA",2017-02-14,84,80,75,89,2,0.08,2
"MIA",2017-02-15,85,79,73,87,3,0,2
"MIA",2017-02-16,86,80,73,88,3,0.02,2
"MIA",2017-02-17,89,82,75,89,3,0.12,2
"MIA",2017-02-18,83,78,74,91,3,0.28,2
"MIA",2017-02-19,89,80,71,79,2,0.12,2
"MIA",2017-02-20,89,81,73,77,5,0,2
"MIA",2017-02-21,88,82,75,79,8,0.01,2
"MIA",2017-02-22,88,80,71,81,4,0.16,2
"MIA",2017-02-23,87,78,69,75,3,0,2
"MIA",2017-02-24,84,75,66,70,4,0,2
"MIA",2017-02-25,84,73,62,79,3,0.08,2
"MIA",2017-02-26,85,76,68,80,3,0.02,2
"MIA",2017-02-27,88,78,67,70,3,0.01,2
"MIA",2017-02-28,88,80,73,64,3,0,2
"MIA",2017-03-01,91,82,73,69,5,0,3
"MIA",2017-03-02,90,82,75,79,4,0,3
"MIA",2017-03-03,88,82,75,79,3,0,3
"MIA",2017-03-04,90,82,73,80,3,0.08,3
"MIA",2017-03-05,91,81,71,67,4,0,3
"MIA",2017-03-06,93,83,73,71,4,0.28,3
"MIA",2017-03-07,86,80,73,83,6,0.98,3
"MIA",2017-03-08,86,78,71,73,4,0.01,3
"MIA",2017-03-09,86,78,71,77,4,0.04,3
"MIA",2017-03-10,89,80,71,84,3,0.2,3
"MIA",2017-03-11,83,78,73,82,3,0.08,3
"MIA",2017-03-12,89,79,69,79,3,0,3
"MIA",2017-03-13,93,83,73,67,4,0,3
"MIA",2017-03-14,88,82,77,73,3,0,3
"MIA",2017-03-15,89,82,75,77,5,0.03,3
"MIA",2017-03-16,87,81,75,76,5,0,3
"MIA",2017-03-17,86,80,73,84,2,0.24,3
"MIA",2017-03-18,88,80,71,79,3,0.02,3
"MIA",2017-03-19,85,77,69,72,7,0,3
"MIA",2017-03-20,85,78,71,69,7,0,3
"MIA",2017-03-21,86,76,66,63,4,0,3
"MIA",2017-03-22,88,78,68,66,3,0,3
"MIA",2017-03-23,91,78,66,63,4,0,3
"MIA",2017-03-24,85,78,71,78,4,0.03,3
"MIA",2017-03-25,90,80,69,74,3,0,3
"MIA",2017-03-26,87,78,68,79,2,0,3
"MIA",2017-03-27,85,78,71,81,2,0,3
"MIA",2017-03-28,86,78,69,74,3,0,3
"MIA",2017-03-29,87,76,64,69,4,0,3
"MIA",2017-03-30,86,75,64,68,4,0,3
"MIA",2017-03-31,91,78,66,75,3,0,3
